rank,name,platform,year,genre,publisher,na_sales_m,eu_sales_m,jp_sales_m,other_sales_m,global_sales_m
3375,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59
3376,Skate it,Wii,2008,Sports,Electronic Arts,0.51,0.04,0.0,0.05,0.59
3377,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0.0,0.05,0.59
3378,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59
3379,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.59
3380,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59
3381,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
3382,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
3383,Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.14,0.0,0.1,0.59
3384,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
3385,Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0.0,0.09,0.59
3386,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59
3387,Backyard NBA Basketball,PS2,2003,Sports,Atari,0.29,0.22,0.0,0.07,0.59
3388,FIFA Soccer 10,DS,2009,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.59
3389,Kirby's Dream Course,SNES,1994,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59
3390,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.22,0.0,0.1,0.59
3391,Mega Man X7,PS2,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58
3392,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58
3393,Petz Dogz 2,Wii,2007,Simulation,Ubisoft,0.53,0.01,0.0,0.04,0.58
3394,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.29,0.22,0.0,0.07,0.58
3395,The Conduit,Wii,2009,Shooter,Sega,0.29,0.23,0.0,0.06,0.58
3396,Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.28,0.25,0.0,0.05,0.58
3397,Tokimeki Memorial: Forever with You,PS,1995,Simulation,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.58
3398,Diablo,PS,1997,Role-Playing,Electronic Arts,0.29,0.19,0.07,0.04,0.58
3399,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.53,0.02,0.0,0.04,0.58
3400,NHL 15,PS4,2014,Sports,Electronic Arts,0.3,0.18,0.0,0.1,0.58
3401,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58
3402,Romancing SaGa,PS2,2005,Role-Playing,Square Enix,0.06,0.04,0.47,0.01,0.58
3403,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.58
3404,Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.58
3405,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.21,0.31,0.0,0.07,0.58
3406,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,0.35,0.18,0.0,0.05,0.58
3407,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0.0,0.39,0.58
3408,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
3409,Rayman Origins,Wii,2011,Platform,Ubisoft,0.23,0.29,0.0,0.07,0.58
3410,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0.0,0.05,0.58
3411,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0.0,0.07,0.58
3412,NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58
3413,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
3414,Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,0.32,0.22,0.0,0.04,0.58
3415,Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.27,0.26,0.0,0.05,0.58
3416,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,0.28,0.22,0.0,0.07,0.58
3417,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.37,0.15,0.0,0.05,0.58
3418,Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,0.27,0.06,0.22,0.03,0.58
3419,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58
3420,World Cup 98,N64,1998,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58
3421,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58
3422,Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58
3423,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58
3424,Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,0.0,0.0,0.54,0.04,0.58
3425,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58
3426,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.58
3427,Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,0.04,0.58
3428,Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,0.42,0.15,0.0,0.01,0.58
3429,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.25,0.0,0.31,0.02,0.58
3430,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58
3431,Petz Nursery,DS,2009,Simulation,Ubisoft,0.53,0.0,0.0,0.04,0.58
3432,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58
3433,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,0.32,0.22,0.0,0.04,0.58
3434,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58
3435,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58
3436,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.21,0.27,0.0,0.09,0.58
3437,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,0.24,0.05,0.26,0.03,0.58
3438,Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58
3439,Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.09,0.0,0.06,0.58
3440,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58
3441,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.58
3442,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0.0,0.04,0.58
3443,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.45,0.12,0.0,0.02,0.58
3444,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58
3445,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58
3446,NHL 06,PS2,2005,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58
3447,NHL 10,PS3,2009,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.58
3448,Rooms: The Main Building,DS,2010,Adventure,Nintendo,0.1,0.41,0.01,0.06,0.58
3449,Rapala: We Fish,Wii,2009,Sports,Activision,0.52,0.02,0.0,0.04,0.58
3450,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58
3451,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.34,0.17,0.02,0.05,0.58
3452,NFL Blitz 2000,N64,1999,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58
3453,Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0.0,0.53,0.0,0.04,0.58
3454,NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58
3455,Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.37,0.0,0.12,0.57
3456,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.02,0.57
3457,Theme Park,PS,1994,Simulation,Electronic Arts,0.24,0.16,0.13,0.04,0.57
3458,Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.23,0.0,0.06,0.57
3459,Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0.0,0.04,0.57
3460,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57
3461,Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57
3462,Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0.0,0.07,0.57
3463,Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,0.41,0.15,0.0,0.01,0.57
3464,Up,Wii,2009,Action,THQ,0.23,0.28,0.0,0.06,0.57
3465,Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57
3466,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.15,0.0,0.05,0.57
3467,Iron Man,X360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57
3468,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,0.0,0.0,0.54,0.04,0.57
3469,Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57
3470,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.24,0.01,0.09,0.57
3471,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,0.53,0.0,0.0,0.04,0.57
3472,Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57
3473,Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0.0,0.33,0.57
3474,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0.23,0.0,0.13,0.57
3475,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.27,0.0,0.06,0.57
3476,Madden NFL 06,GC,2005,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57
3477,No More Heroes,Wii,2007,Action,Rising Star Games,0.3,0.17,0.04,0.05,0.57
3478,Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0.0,0.11,0.57
3479,Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,0.52,0.01,0.0,0.04,0.57
3480,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57
3481,Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.15,0.0,0.04,0.57
3482,Dogz,DS,2006,Simulation,Ubisoft,0.51,0.02,0.0,0.04,0.57
3483,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57
3484,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57
3485,NBA Hangtime,N64,1997,Sports,GT Interactive,0.48,0.08,0.0,0.0,0.57
3486,Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.52,0.01,0.0,0.04,0.57
3487,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.12,0.29,0.07,0.57
3488,Grease,Wii,2010,Misc,505 Games,0.27,0.25,0.0,0.05,0.57
3489,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57
3490,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57
3491,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57
3492,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.5,0.03,0.0,0.04,0.57
3493,Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.57
3494,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57
3495,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57
3496,Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57
3497,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,0.45,0.1,0.0,0.02,0.57
3498,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.25,0.04,0.09,0.57
3499,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57
3500,Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0.0,0.06,0.57
3501,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57
3502,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57
3503,Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.31,0.21,0.0,0.04,0.57
3504,XIII,PS2,2003,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57
3505,NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.19,0.0,0.09,0.57
3506,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.12,0.0,0.05,0.57
3507,Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.57
3508,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.57
3509,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57
3510,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.28,0.0,0.05,0.56
3511,Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56
3512,True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0.0,0.02,0.56
3513,Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56
3514,Donkey Kong Jungle Climber,DS,2007,Platform,Nintendo,0.26,0.04,0.24,0.03,0.56
3515,The Incredible Hulk,GBA,2003,Action,Universal Interactive,0.4,0.15,0.0,0.01,0.56
3516,Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,Zoo Digital Publishing,0.4,0.15,0.0,0.01,0.56
3517,Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56
3518,The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56
3519,NHL Hitz 20-02,PS2,2001,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56
3520,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56
3521,The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.4,0.14,0.0,0.02,0.56
3522,NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56
3523,"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56
3524,Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.28,0.21,0.0,0.07,0.56
3525,Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.41,0.08,0.0,0.07,0.56
3526,Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56
3527,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0.0,0.07,0.56
3528,Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,0.27,0.05,0.22,0.03,0.56
3529,Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0.0,0.07,0.56
3530,Army Men: Sarge's Heroes,PS,1999,Action,3DO,0.31,0.21,0.0,0.04,0.56
3531,Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,Disney Interactive Studios,0.32,0.19,0.0,0.05,0.56
3532,Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0.0,0.07,0.56
3533,Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56
3534,Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0.0,0.06,0.56
3535,All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56
3536,Backyard NFL Football,GBA,2002,Sports,Infogrames,0.4,0.15,0.0,0.01,0.56
3537,Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56
3538,NASCAR Rumble,PS,2000,Racing,Electronic Arts,0.31,0.21,0.0,0.04,0.56
3539,Tony Hawk: Shred,Wii,2010,Sports,Activision,0.41,0.11,0.0,0.04,0.56
3540,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0.0,0.04,0.56
3541,WWE Raw 2,XB,2003,Fighting,THQ,0.43,0.11,0.0,0.02,0.56
3542,Resident Evil 2,N64,1999,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56
3543,Mega Man X2,SNES,1993,Platform,Laguna,0.09,0.02,0.45,0.0,0.56
3544,Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56
3545,Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.26,0.14,0.12,0.04,0.56
3546,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56
3547,Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.44,0.08,0.0,0.04,0.56
3548,Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
3549,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56
3550,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.15,0.35,0.0,0.07,0.56
3551,Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56
3552,Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56
3553,Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,0.27,0.23,0.0,0.06,0.56
3554,Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56
3555,Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56
3556,Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56
3557,Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0.0,0.02,0.56
3558,Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.32,0.18,0.0,0.05,0.56
3559,Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56
3560,ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0.0,0.07,0.56
3561,Fatal Fury Special,SNES,1994,Fighting,Takara,0.0,0.0,0.56,0.0,0.56
3562,Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0.0,0.04,0.56
3563,Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56
3564,DS Bimoji Training,DS,2008,Misc,Nintendo,0.0,0.0,0.56,0.0,0.56
3565,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.28,0.23,0.0,0.04,0.56
3566,Petz Catz Clan,DS,2008,Simulation,Ubisoft,0.48,0.04,0.0,0.04,0.56
3567,Soul Sacrifice,PSV,2013,Role-Playing,Sony Computer Entertainment,0.18,0.09,0.22,0.06,0.56
3568,G-Force,DS,2009,Action,Disney Interactive Studios,0.27,0.23,0.0,0.06,0.56
3569,Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,0.24,0.26,0.0,0.06,0.56
3570,Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,0.27,0.21,0.0,0.07,0.56
3571,Rune Factory: A Fantasy Harvest Moon,DS,2006,Role-Playing,Rising Star Games,0.37,0.02,0.14,0.03,0.56
3572,Monster Jam: Path of Destruction,Wii,2010,Racing,Activision,0.5,0.02,0.0,0.03,0.56
3573,Rapala Tournament Fishing!,Wii,2006,Sports,Activision,0.51,0.0,0.0,0.04,0.56
3574,MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,THQ,0.27,0.21,0.0,0.07,0.56
3575,Purr Pals,DS,2007,Simulation,THQ,0.18,0.36,0.0,0.02,0.56
3576,NCAA Football 07,XB,2006,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56
3577,God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.56
3578,MX vs. ATV: Alive,X360,2011,Racing,THQ,0.37,0.14,0.0,0.05,0.56
3579,Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55
3580,Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games,0.15,0.2,0.14,0.07,0.55
3581,NBA Showtime: NBA on NBC,PS,1999,Sports,Midway Games,0.31,0.21,0.0,0.04,0.55
3582,ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010,Simulation,Activision,0.41,0.11,0.0,0.04,0.55
3583,Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts,0.35,0.16,0.0,0.05,0.55
3584,Soul Reaver 2,PS2,2001,Action,Eidos Interactive,0.27,0.21,0.0,0.07,0.55
3585,Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55
3586,Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.35,0.13,0.0,0.08,0.55
3587,The Godfather (old US sales),XB,2006,Action,Electronic Arts,0.42,0.11,0.0,0.02,0.55
3588,Daytona USA,SAT,1994,Racing,Sega,0.0,0.0,0.55,0.0,0.55
3589,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.22,0.28,0.0,0.05,0.55
3590,Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts,0.24,0.22,0.0,0.09,0.55
3591,WWF Raw,XB,2002,Fighting,THQ,0.4,0.13,0.0,0.02,0.55
3592,Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,0.0,0.0,0.52,0.04,0.55
3593,Jump Super Stars,DS,2005,Fighting,Nintendo,0.0,0.0,0.55,0.0,0.55
3594,Legends of WrestleMania,PS3,2009,Fighting,THQ,0.3,0.17,0.0,0.07,0.55
3595,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0.0,0.01,0.55
3596,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,D3Publisher,0.31,0.21,0.0,0.04,0.55
3597,50 Classic Games,DS,2009,Misc,Destineer,0.52,0.0,0.0,0.04,0.55
3598,Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0.0,0.04,0.55
3599,Sakura Wars,SAT,1996,Adventure,Sega,0.0,0.0,0.55,0.0,0.55
3600,Yokai Sangokushi,3DS,2016,Action,Level 5,0.0,0.0,0.55,0.0,0.55
3601,Extermination,PS2,2001,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55
3602,Batman: Vengeance,PS2,2001,Adventure,Ubisoft,0.27,0.21,0.0,0.07,0.55
3603,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.29,0.15,0.04,0.07,0.55
3604,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,0.32,0.16,0.03,0.05,0.55
3605,TMNT,X360,2007,Action,Ubisoft,0.47,0.04,0.0,0.04,0.55
3606,F.E.A.R.,PS3,2007,Shooter,Vivendi Games,0.18,0.27,0.0,0.1,0.55
3607,Secret Agent Clank(US sales),PSP,2008,Platform,Sony Computer Entertainment,0.33,0.22,0.0,0.0,0.55
3608,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.17,0.33,0.0,0.05,0.55
3609,Derby Stallion 04,PS2,2004,Sports,Enterbrain,0.0,0.0,0.55,0.0,0.55
3610,NBA 2K8,PS3,2007,Sports,Take-Two Interactive,0.5,0.01,0.0,0.05,0.55
3611,Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision,0.51,0.0,0.0,0.04,0.55
3612,CrossworDS,DS,2008,Puzzle,Deep Silver,0.51,0.0,0.0,0.04,0.55
3613,Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,0.34,0.18,0.0,0.02,0.55
3614,Mega Man Zero,GBA,2002,Platform,Capcom,0.22,0.08,0.24,0.01,0.55
3615,Contender 2,PS,2000,Fighting,3DO,0.31,0.21,0.0,0.04,0.55
3616,The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55
3617,Star Wars: Dark Forces,PS,1996,Shooter,LucasArts,0.31,0.21,0.0,0.04,0.55
3618,SD Gundam G Generation Zero,PS,1999,Strategy,Namco Bandai Games,0.0,0.0,0.51,0.04,0.55
3619,Super Robot Taisen F,SAT,1997,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55
3620,Shrek 2,XB,2004,Platform,Activision,0.4,0.13,0.0,0.02,0.55
3621,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,0.0,0.0,0.55,0.0,0.55
3622,Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games,0.18,0.21,0.07,0.08,0.55
3623,SpongeBob SquarePants: SuperSponge,GBA,2001,Action,THQ,0.39,0.15,0.0,0.01,0.55
3624,Super Robot Taisen F Kanketsuhen,SAT,1998,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55
3625,Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,0.3,0.19,0.0,0.05,0.55
3626,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.31,0.0,0.21,0.03,0.55
3627,Summer Sports: Paradise Island,Wii,2008,Sports,Ubisoft,0.49,0.02,0.0,0.04,0.55
3628,Tak and the Power of Juju,GBA,2003,Platform,THQ,0.39,0.15,0.0,0.01,0.55
3629,Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei,0.11,0.05,0.36,0.02,0.55
